Student,Correct,Cheated,Obvious,Obvious with Esay mode,ChatGPT,large forign paste,Seeded,useless,Obvious without,MOSS detect,Chain,Notes,Moss Notes
A,X,X,X,,,X,,,,,,,
B,X,X,X,,,X,,,,4 R,,,False flag
C,,X,X,,,X,,,X,8 R,,,false flag
D,X,X,X,,X,X,,,,17 Q,,,false flag
E,X,X,,X,,,,,,"55 I, 44 H, 38 P, 38 F",,Good canidate to try essay mode detection on (Works),"EFHIP same source, potentially false flag"
F,X,X,X,,,X,,,with work,"94 P,47 I, 47 H, 35 E",,same example used by 2 people,EFHIP same source
G,,X,X,,,X,,,,,,,
H,X,*,,,,X,,,X,"69 I, 56 P, 55 F, 46 H",I (H was Origin),"At first appears plagerized, but base is actually javascript that has been converted to java.  I would consider it not plagerized (other than the copy)",EFHIP same source
I,X,X,X,,,X,,,X,"72 I, 60 E, 58 P, 57 I ",H,,EFHIP same source
L,,X,X,,,X,,,,,,,
M,,?,,,,X,,,,,,"dirty, entire file is internal copy",
N,,,,,,,,,,,,,
O,X,X,,,,X,,,,,,also contains a video copied sample,
P,X,X,X,,,X,,,with work,"96 F, 49 P, 49 H, 35 E",,same example used by 2 people,EFHIP same source
Q,X,X,X,,X,,,,,"15 Q, 11 R",,,false flag
R,X,?,,,,,,,,"4 B, 3 Q, 3 C",,"video copy, check with essay mode (looks ligit)",false flag
S,,,,,,,,,,,,Blank,
T,,,,,,,,,,,,Blank,
